utc_iso,utc_unix,synced,freq_hz,rocof_hz_s,vmag_phasor_rms,vmag_rms,phase_deg,tve_percent,mag_error_pct,phase_error_deg,crest_factor,gps_fix,overflow_blocks,dropped_frames
1970-01-01T00:07:38.812366+00:00,458.812365790,0,59.610716,-0.009081,118.711434,118.781603,-100.295517,152.717103,-1.073805,-100.295517,1.3748,0,487539,5971
1970-01-01T00:07:38.914126+00:00,458.914125790,0,59.596880,0.001562,118.621710,118.688288,-96.367141,148.202931,-1.148575,-96.367141,1.3748,0,487539,5971
1970-01-01T00:07:39.024846+00:00,459.024845760,0,59.615634,0.008689,118.700407,118.753985,119.022975,171.413811,-1.082994,119.022975,1.3745,0,487539,5971
1970-01-01T00:07:39.117646+00:00,459.117645790,0,59.640093,0.024272,118.839197,118.907894,118.779739,171.298570,-0.967336,118.779739,1.3749,0,487539,5971
1970-01-01T00:07:39.209806+00:00,459.209805750,0,59.626359,0.034411,118.719851,118.782956,119.299178,171.670520,-1.066791,119.299178,1.3747,0,487539,5971
1970-01-01T00:07:39.320526+00:00,459.320525740,0,59.603142,0.030695,118.741647,118.799625,121.384486,173.486955,-1.048628,121.384486,1.3752,0,487539,5971
1970-01-01T00:07:39.413326+00:00,459.413325750,0,59.604934,0.032100,118.776418,118.831761,121.198337,173.353733,-1.019651,121.198337,1.3748,0,487539,5971
1970-01-01T00:07:39.474766+00:00,459.474765740,0,59.602234,0.022947,118.702987,118.769570,121.574602,173.620211,-1.080844,121.574602,1.3751,0,487539,5971
1970-01-01T00:07:39.625275+00:00,459.625275290,0,59.652910,0.028655,118.748399,118.818857,110.140395,163.116818,-1.043001,110.140395,1.3760,0,487539,5971
1970-01-01T00:07:39.727035+00:00,459.727035250,0,59.591192,0.001997,118.585521,118.647925,123.862510,175.437517,-1.178732,123.862510,1.3761,0,487539,5971
1970-01-01T00:07:39.828155+00:00,459.828155260,0,59.622904,0.004232,118.725841,118.784952,115.619280,168.358930,-1.061799,115.619280,1.3754,0,487539,5971
1970-01-01T00:07:39.929915+00:00,459.929915260,0,59.623347,-0.003863,118.607580,118.666086,115.505310,168.170280,-1.160350,115.505310,1.3747,0,487539,5971
1970-01-01T00:07:40.022075+00:00,460.022075300,0,59.624528,-0.000099,118.789540,118.848551,-20.104302,34.747029,-1.008717,-20.104302,1.3750,0,487539,5971
1970-01-01T00:07:40.114875+00:00,460.114875310,0,59.615531,-0.003236,118.772821,118.825738,-20.128671,34.786639,-1.022649,-20.128671,1.3749,0,487539,5971
1970-01-01T00:07:40.225595+00:00,460.225595240,0,59.634043,0.024851,118.730986,118.795033,-20.929773,36.149464,-1.057511,-20.929773,1.3747,0,487539,5971
1970-01-01T00:07:40.317755+00:00,460.317755290,0,59.631411,0.024973,118.711795,118.775928,-20.668813,35.701647,-1.073504,-20.668813,1.3747,0,487539,5971
1970-01-01T00:07:40.419515+00:00,460.419515290,0,59.631001,0.018721,118.717960,118.782283,-20.514174,35.438410,-1.068367,-20.514174,1.3745,0,487539,5971
1970-01-01T00:07:40.530235+00:00,460.530235240,0,59.616127,0.000681,118.615973,118.692617,-18.158669,31.399043,-1.153356,-18.158669,1.3753,0,487539,5971
1970-01-01T00:07:40.622395+00:00,460.622395270,0,59.646259,0.010548,118.725119,118.778468,-23.836599,41.097085,-1.062401,-23.836599,1.3747,0,487539,5971
1970-01-01T00:07:40.733755+00:00,460.733755260,0,59.633481,0.015503,118.616727,118.684328,-21.043956,36.329715,-1.152727,-21.043956,1.3759,0,487539,5971
1970-01-01T00:07:40.825915+00:00,460.825915290,0,59.647344,0.020457,118.670751,118.748468,-24.664960,42.494037,-1.107708,-24.664960,1.3748,0,487539,5971
1970-01-01T00:07:40.927675+00:00,460.927675240,0,59.634679,0.018996,118.775911,118.845885,-20.868424,36.050502,-1.020075,-20.868424,1.3749,0,487539,5971
1970-01-01T00:07:41.028795+00:00,461.028795290,0,59.628502,0.014169,118.963277,119.028340,-152.595362,193.468667,-0.863936,-152.595362,1.3748,0,487539,5971
1970-01-01T00:07:41.130555+00:00,461.130555240,0,59.641604,0.008656,118.968878,119.035991,-152.743887,193.534178,-0.859268,-152.743887,1.3753,0,487539,5971
1970-01-01T00:07:41.232315+00:00,461.232315300,0,59.647122,0.015167,118.933915,118.988311,-153.039590,193.626285,-0.888404,-153.039590,1.3746,0,487539,5971
1970-01-01T00:07:41.334075+00:00,461.334075300,0,59.651427,0.020818,118.856982,118.936344,-153.283713,193.662364,-0.952515,-153.283713,1.3750,0,487539,5971
1970-01-01T00:07:41.435195+00:00,461.435195290,0,59.653917,0.025173,118.758986,118.834667,-153.576535,193.699763,-1.034178,-153.576535,1.3749,0,487539,5971
1970-01-01T00:07:41.527355+00:00,461.527355300,0,59.656377,0.026317,118.799436,118.873003,-153.951038,193.880171,-1.000470,-153.951038,1.3745,0,487539,5971
1970-01-01T00:07:41.620155+00:00,461.620155290,0,59.669103,0.025025,118.885087,118.949369,-156.368512,194.852917,-0.929094,-156.368512,1.3749,0,487539,5971
1970-01-01T00:07:41.730875+00:00,461.730875250,0,59.645412,0.024684,118.778634,118.852222,-151.161218,192.714211,-1.017805,-151.161218,1.3754,0,487539,5971
1970-01-01T00:07:41.841595+00:00,461.841595290,0,59.649016,0.024779,118.845149,118.894259,-151.997027,193.124247,-0.962376,-151.997027,1.3751,0,487539,5971
1970-01-01T00:07:41.924795+00:00,461.924795320,0,59.666149,0.027003,118.865647,118.930568,-157.188440,195.123710,-0.945294,-157.188440,1.3747,0,487539,5971
1970-01-01T00:07:42.035515+00:00,462.035515240,0,59.663218,0.018000,118.831317,118.896373,82.620911,131.386876,-0.973903,82.620911,1.3750,0,487539,5971
1970-01-01T00:07:42.127675+00:00,462.127675260,0,59.652438,0.012691,118.872069,118.931425,82.671143,131.474684,-0.939942,82.671143,1.3746,0,487539,5971
1970-01-01T00:07:42.239035+00:00,462.239035250,0,59.643862,-0.003397,118.836825,118.888504,83.068245,131.972471,-0.969312,83.068245,1.3749,0,487539,5971
1970-01-01T00:07:42.331195+00:00,462.331195300,0,59.656018,-0.002135,118.727114,118.800948,82.092362,130.639321,-1.060738,82.092362,1.3747,0,487539,5971
1970-01-01T00:07:42.432955+00:00,462.432955270,0,59.657370,-0.003153,118.765070,118.836667,81.879610,130.381132,-1.029108,81.879610,1.3757,0,487539,5971
1970-01-01T00:07:42.475195+00:00,462.475195290,0,59.667638,0.000745,118.809111,118.873748,80.289375,128.306423,-0.992408,80.289375,1.3755,0,487539,5971
1970-01-01T00:07:42.635722+00:00,462.635721980,0,59.783630,0.082553,118.908061,118.983621,53.557376,89.702805,-0.909950,53.557376,1.3744,0,487539,5971
